STT;Mảng nội dung;;Nội dung câu hỏi;Phương án A;Phương án B;Phương án C;Phương án D;Đáp án đúng;Văn bản tham chiếu/ thuyết minh;Điều khoản;;;;;;;;;;;;;;;
38;IV.8.Ngân hàng số, thanh toán;IV.8;Theo Chiến lược Chuyển đổi số ngành Ngân hàng đến năm 2030, quan điểm nào dưới đây được nêu đúng nhất về xác định đúng vai trò, vị trí của người dân, doanh nghiệp trong chuyển đổi số ngành Ngân hàng?;Người dân và doanh nghiệp là đối tượng thụ hưởng chính của chuyển đổi số ngành Ngân hàng;Người dân và doanh nghiệp là trung tâm, là chủ thể và là động lực chính của công cuộc chuyển đổi số ngành Ngân hàng;Người dân và doanh nghiệp là trung tâm và là đối tượng phục vụ của công cuộc chuyển đổi số ngành Ngân hàng;Người dân và doanh nghiệp là chủ thể và là động lực quan trọng của công cuộc chuyển đổi số ngành Ngân hàng;B;Quyết định 3579/QĐ-NHNN năm 2025;"Quan điểm xây dựng Chiến lược: ""Người dân và doanh nghiệp là trung tâm, là chủ thể và là động lực chính của công cuộc chuyển đổi số ngành Ngân hàng""";;;;;;;;;;;;;;;
39;IV.8.Ngân hàng số, thanh toán;IV.8;Tổ chức cung ứng dịch vụ thanh toán có quyền từ chối thực hiện lệnh thanh toán của chủ tài khoản thanh toán trong trường hợp nào dưới đây?;Khi lệnh thanh toán không hợp lệ hoặc tài khoản thanh toán không đủ tiền;Khi lệnh thanh toán không hợp lệ hoặc có cơ sở pháp lý để xác định chủ tài khoản vi phạm các hành vi bị cấm, hoặc khi tài khoản thanh toán không đủ tiền, trừ trường hợp có thỏa thuận khác;Khi lệnh thanh toán không hợp lệ, hoặc chủ tài khoản có dấu hiệu rủi ro theo đánh giá nội bộ của tổ chức cung ứng dịch vụ thanh toán;Khi tài khoản thanh toán không đủ tiền hoặc chủ tài khoản chưa cập nhật lại thông tin nhận biết khách hàng;B;Nghị định 52/2024/NĐ-CP;"Khoản 5 Điều 10 Nghị định 52 quy định tổ chức cung ứng dịch vụ thanh toán có quyền từ chối khi “5. Tổ chức cung ứng dịch vụ thanh toán có quyền từ chối thực hiện lệnh thanh toán của chủ tài khoản thanh toán khi lệnh thanh toán không hợp lệ hoặc có cơ sở pháp lý để xác định chủ tài khoản vi phạm các hành vi bị cấm theo quy định tại Điều 8 Nghị định này hoặc khi tài khoản thanh toán không đủ tiền trừ trường hợp có thỏa thuận khác. Trường hợp từ chối thực hiện lệnh thanh toán của chủ tài khoản thanh toán, tổ chức cung ứng dịch vụ thanh toán phải thông báo lý do từ chối cho chủ tài khoản thanh toán.""";;;;;;;;;;;;;;;
40;IV.8.Ngân hàng số, thanh toán;IV.8;"Trong quy trình mở tài khoản thanh toán tại ngân hàng, ""giấy tờ tùy thân” đối với cá nhân là công dân Việt Nam bao gồm loại nào dưới đây?";Thẻ căn cước công dân, thẻ căn cước, căn cước điện tử;Thẻ căn cước công dân, thẻ căn cước, hộ chiếu Việt Nam;Thẻ căn cước, căn cước điện tử, giấy phép lái xe;Thẻ căn cước công dân, căn cước điện tử, tài khoản định danh điện tử;A;Thông tư 30/2025/TT-NHNN;Điều 1 Thông tư 30/2025 sửa khoản 10 Điều 3 Thông tư 15 theo hướng: “Đối với cá nhân là công dân Việt Nam: thẻ căn cước công dân, thẻ căn cước hoặc căn cước điện tử.”;;;;;;;;;;;;;;;
41;IV.8.Ngân hàng số, thanh toán;IV.8;Theo quy định hiện hành, Phương tiện thanh toán không dùng tiền mặt bao gồm những loại nào sau đây?;Séc, lệnh chi, ủy nhiệm chi, nhờ thu, ủy nhiệm thu, thẻ ngân hàng, ví điện tử và các phương tiện khác theo quy định của NHNN;Séc, lệnh chi, ủy nhiệm chi, nhờ thu, ủy nhiệm thu, thẻ ngân hàng, tiền mã hóa, ví điện tử và các phương tiện khác theo quy định của NHNN;Séc, lệnh chi, ủy nhiệm chi, nhờ thu, ủy nhiệm thu, ví điện tử và các phương tiện khác theo quy định của NHNN;Séc, ủy nhiệm chi, nhờ thu, ủy nhiệm thu, thẻ ngân hàng, ví điện tử và các phương tiện khác theo quy định của NHNN;A;Nghị định 52/2024/NĐ-CP;"Khoản 10 Điều 3 Nghị định 52/2024/NĐ-CP: ""10. Phương tiện thanh toán không dùng tiền mặt (sau đây gọi là phương tiện thanh toán) là phương tiện do tổ chức cung ứng dịch vụ thanh toán, công ty tài chính được phép phát hành thẻ tín dụng, tổ chức cung ứng dịch vụ trung gian thanh toán cung ứng dịch vụ ví điện tử phát hành và được khách hàng sử dụng nhằm thực hiện giao dịch thanh toán, bao gồm: séc, lệnh chi, ủy nhiệm chi, nhờ thu, ủy nhiệm thu, thẻ ngân hàng (bao gồm: thẻ ghi nợ, thẻ tín dụng, thẻ trả trước), ví điện tử và các phương tiện thanh toán khác theo quy định của Ngân hàng Nhà nước.""";;;;;;;;;;;;;;;
42;IV.8.Ngân hàng số, thanh toán;IV.8;Tổ chức, cá nhân sử dụng dịch vụ thanh toán có trách nhiệm nào sau đây?;"Tự bảo vệ các bí mật thông tin tài khoản, giao dịch; thông báo kịp thời cho tổ chức cung ứng dịch vụ thanh toán khi phát hiện sai sót, nhầm lẫn hoặc nghi ngờ thông tin giao dịch bị lợi dụng";"Tự bảo vệ thông tin tài khoản; thông báo cho tổ chức cung ứng dịch vụ thanh toán khi giao dịch không thành công";"Tự bảo vệ các bí mật thông tin tài khoản, giao dịch; chỉ thông báo khi phát sinh thiệt hại thực tế";"Tự bảo vệ thông tin tài khoản; thông báo cho tổ chức cung ứng dịch vụ thanh toán trong thời hạn 24 giờ kể từ khi phát hiện sự cố";A;Thông tư 15/2024/TT-NHNN (đã được sửa đổi, bổ sung);"Khoản 4 Điều 17 Thông tư 15/2024/TT-NHNN: ""Điều 17. Trách nhiệm của tổ chức, cá nhân sử dụng dịch vụ thanh toán: 4. Tự bảo vệ các bí mật thông tin tài khoản, giao dịch của cá nhân, tổ chức để đảm bảo an toàn, bảo mật trong giao dịch thanh toán; thông báo kịp thời cho tổ chức cung ứng dịch vụ thanh toán khi phát hiện thấy có sai sót, nhầm lẫn trong giao dịch thanh toán hoặc nghi ngờ thông tin giao dịch bị lợi dụng.""";;;;;;;;;;;;;;;
43;IV.9.An ninh an toàn thông tin;IV.9;Theo Thông tư 09/2020/TT-NHNN, tổ chức quản lý hệ thống thông tin từ cấp độ mấy trở lên phải thành lập hoặc chỉ định bộ phận chuyên trách về ATTT?;Cấp độ 1;Cấp độ 2;Cấp độ 3;Cấp độ 4;C;Thông tư 09/2020/TT-NHNN;Điểm a Khoản 3 Điều 13, TT 09/2020/TT-NHNN;;;;;;;;;;;;;;;
44;IV.9.An ninh an toàn thông tin;IV.9;Theo Thông tư 50/2024/TT-NHNN, hình thức xác nhận bằng mã PIN (trừ trường hợp gắn với thẻ vật lý) phải có độ dài tối thiểu bao nhiêu ký tự?;04 ký tự;06 ký tự;08 ký tự;10 ký tự;B;Thông tư 50/2024/TT-NHNN (được sửa đổi, bổ sung bởi Thông tư 77/2025/TT-NHNN);Điểm a Khoản 2 Điều 11, TT 50/2024/TT-NHNN;;;;;;;;;;;;;;;
45;IV.9.An ninh an toàn thông tin;IV.9;Theo thông tư 77/2025/TT-NHNN, trường hợp khách hàng là hộ kinh doanh, thông tin sinh trắc học sử dụng để đối chiếu, so sánh khi thực hiện xác nhận giao dịch là của đối tượng nào?;Bất kỳ nhân viên nào trong tổ chức;Kế toán trưởng;Người đại diện hợp pháp hoặc cá nhân được người đại diện hợp pháp ủy quyền.;Người trực tiếp soạn thảo giao dịch;C;Thông tư 77/2025/TT-NHNN;Phụ lục 2;;;;;;;;;;;;;;;
46;IV.9.An ninh an toàn thông tin;IV.9;Theo Thông tư 77/2025/TT-NHNN, ứng dụng Mobile Banking phải tự động thoát hoặc dừng hoạt động khi phát hiện dấu hiệu nào sau đây?;Thiết bị chưa được cài đặt mật khẩu;Thiết bị đã bị phá khóa (root/jailbreak);Thiết bị không có kết nối Internet;Thiết bị không có sim;B;Thông tư 77/2025/TT-NHNN;Khoản 2 Điều 5 Thông tư 77/2025/TT-NHNN;;;;;;;;;;;;;;;
47;IV.10.Khoa học công nghệ;IV.10;Hoạt động nào dưới đây được xác định là hoạt động khoa học, công nghệ và đổi mới sáng tạo theo quy định của Luật Khoa học, công nghệ và đổi mới sáng tạo năm 2025?;Nghiên cứu cơ bản;Sản xuất thử nghiệm;Ứng dụng, chuyển giao công nghệ;Cả 03 đáp án đều đúng;D;Luật Khoa học, công nghệ và đổi mới sáng tạo 2025;Khoản 4 Điều 3;;;;;;;;;;;;;;;
48;IV.10.Khoa học công nghệ;IV.10;Theo Luật Khoa học, công nghệ và đổi mới sáng tạo 2025, tác giả kết quả nhiệm vụ khoa học, công nghệ và đổi mới sáng tạo được thưởng tối thiểu bao nhiêu % lợi nhuận thu được từ việc cho thuê, bán, chuyển nhượng, chuyển giao quyền sử dụng, tự khai thác, sử dụng kết quả;Tối thiểu 10% lợi nhuận thu được.;Tối thiểu 20% lợi nhuận thu được.;Tối thiểu 30% lợi nhuận thu được;Tối thiểu 50% lợi nhuận thu được.;C;Luật Khoa học, công nghệ và đổi mới sáng tạo 2025;điểm a Khoản 3 Điều 28;;;;;;;;;;;;;;;
49;IV.10.Khoa học công nghệ;IV.10;Theo Luật Khoa học, công nghệ và đổi mới sáng tạo 2025, công nghệ nào được khuyến khích ứng dụng để nâng cao hiệu quả của hoạt động khoa học, công nghệ và đổi mới sáng tạo?;Dữ liệu lớn và trí tuệ nhân tạo;Internet vạn vật;Thực tế ảo và hỗn hợp;Điện toán đám mây;A;Luật Khoa học, công nghệ và đổi mới sáng tạo 2025;Khoản 2 Điều 20;;;;;;;;;;;;;;;
50;IV.10.Khoa học công nghệ;IV.10;Theo quy định pháp luật, việc xử lý rủi ro về tài chính trong quá trình thực hiện nhiệm vụ khoa học, công nghệ và đổi mới sáng tạo thông qua hình thức nào?;"Miễn, giảm, giãn thời gian hoàn trả;";Khoanh nợ, xóa nợ (trong trường hợp phá sản);Không thu hồi tạm ứng còn lại;Cả 3 đáp đều đúng;D;Nghị định 265/2025/NĐ-CP;Khoản 2 Điều 25;;;;;;;;;;;;;;;
51;IV.10.Khoa học công nghệ;IV.10;Theo Luật Khoa học, công nghệ và đổi mới sáng tạo 2025, cá nhân hoạt động khoa học, công nghệ và đổi mới sáng tạo được hưởng những ưu đãi nào?;Hỗ trợ đào tạo, bồi dưỡng, nghiên cứu khoa học, phát triển công nghệ;Ưu tiên trong bổ nhiệm, tuyển dụng, bố trí vị trí việc làm, thu nhập, thuế thu nhập cá nhân, lao động;Ưu tiên trong nhà ở, xuất cảnh, nhập cảnh, cư trú và cấp giấy phép lao động;Cả 03 đáp án đều đúng;D;Luật Khoa học, công nghệ và đổi mới sáng tạo 2025;Khoản 1 Điều 55;;;;;;;;;;;;;;;
52;IV.10.Khoa học công nghệ;IV.10;Theo Luật Khoa học, công nghệ và đổi mới sáng tạo 2025, cá nhân có nghĩa vụ gì trong hoạt động khoa học, công nghệ và đổi mới sáng tạo?;Đóng góp trí tuệ, tài năng vào sự nghiệp phát triển khoa học, công nghệ và đổi mới sáng tạo;Tuân thủ liêm chính khoa học, đạo đức nghề nghiệp trong hoạt động khoa học, công nghệ và đổi mới sáng tạo.;Truyền thông, phổ biến tri thức, kết quả, thành tựu khoa học, công nghệ và đổi mới sáng tạo cho cộng đồng;Cả 03 đáp án đều đúng;D;Luật Khoa học, công nghệ và đổi mới sáng tạo 2025;Khoản 2 Điều 52;;;;;;;;;;;;;;;
53;IV.10.Khoa học công nghệ;IV.10;Theo Luật Khoa học, công nghệ và đổi mới sáng tạo 2025, Ngày Khoa học, Công nghệ và Đổi mới sáng tạo Việt Nam là ngày nào?;Ngày 19 tháng 5 hằng năm;Ngày 01 tháng 5 hằng năm.;Ngày 18 tháng 5 hằng năm.;Ngày 02 tháng 9 hằng năm.;C;Luật Khoa học, công nghệ và đổi mới sáng tạo 2025;Điều 7;;;;;;;;;;;;;;;
54;IV.10.Khoa học công nghệ;IV.10;Theo Luật Khoa học, công nghệ và đổi mới sáng tạo 2025, chủ thể nào có thẩm quyền phê duyệt Chiến lược phát triển khoa học, công nghệ và đổi mới sáng tạo?;Thủ tướng Chính phủ;Bộ Khoa học và Công nghệ;Chính phủ;Quốc hội;A;Luật Khoa học, công nghệ và đổi mới sáng tạo 2025;Khoản 1 Điều 15;;;;;;;;;;;;;;;
55;IV.10.Khoa học công nghệ;IV.10;Theo Luật Khoa học, công nghệ và đổi mới sáng tạo 2025, Quỹ đổi mới công nghệ quốc gia có chức năng nào dưới đây?;hỗ trợ lãi suất vay để ứng dụng công nghệ, chuyển giao công nghệ, đổi mới công nghệ, đổi mới sáng tạo;Tài trợ, đặt hàng thực hiện chương trình, nhiệm vụ khoa học, công nghệ và đổi mới sáng tạo;Hỗ trợ hoạt động phát triển hệ thống đổi mới sáng tạo, hệ sinh thái khởi nghiệp sáng tạo;Cả 03 đáp án trên;D;Luật Khoa học, công nghệ và đổi mới sáng tạo 2025;Khoản 2 Điều 64;;;;;;;;;;;;;;;
56;IV.11.Dữ liệu;IV.11;Theo Nghị định 356/2025/NĐ-CP, trong quá trình xử lý dữ liệu cá nhân nhạy cảm, cơ quan, tổ chức có nghĩa vụ nào sau đây?;Mã hóa toàn bộ dữ liệu lưu trữ và không cho phép bất kỳ nhân viên nào truy cập dưới mọi hình thức;Thiết lập quy định phân quyền giới hạn truy cập, quy trình xử lý và các biện pháp bảo mật.;Lưu trữ toàn bộ dữ liệu cá nhân nhạy cảm trên máy chủ dùng chung do cơ quan quản lý nhà nước cung cấp.;Lập báo cáo kiểm toán bảo mật gửi cho Bộ Công an định kỳ mỗi tháng một lần.;B;Nghị định 356/2025/NĐ-CP;Khoản 2 Điều 4;;;;;;;;;;;;;;;
57;IV.11.Dữ liệu;IV.11;Theo Luật Dữ liệu 2024, nhận định nào sau đây đúng về chuyển, xử lý dữ liệu xuyên biên giới?;Cơ quan, tổ chức, cá nhân bị cấm chuyển dữ liệu từ nước ngoài về Việt Nam;Chỉ cơ quan nhà nước mới được xử lý dữ liệu của nước ngoài tại Việt Nam;"Cơ quan, tổ chức, cá nhân được tự do chuyển dữ liệu từ nước ngoài về Việt Nam, xử lý dữ liệu của nước ngoài tại Việt Nam; được Nhà nước bảo vệ các quyền và lợi ích hợp pháp theo quy định của pháp luật.";Việc chuyển dữ liệu xuyên biên giới được thực hiện tự do, không chịu sự điều chỉnh bởi các quy định về an ninh và quốc phòng;C;Luật Dữ liệu 2024;Khoản 1 và khoản 3 Điều 23;;;;;;;;;;;;;;;
58;IV.11.Dữ liệu;IV.11;Theo Luật Dữ liệu 2024, “dữ liệu số” được hiểu là gì?;Dữ liệu về sự vật, hiện tượng, sự kiện chỉ được thể hiện bằng chữ viết dưới dạng điện tử;Dữ liệu về sự vật, hiện tượng, sự kiện, bao gồm một hoặc kết hợp các dạng âm thanh, hình ảnh, chữ số, chữ viết, ký hiệu được thể hiện dưới dạng kỹ thuật số;Thông tin được lưu trữ trong cơ sở dữ liệu của cơ quan nhà nước;Dữ liệu về sự vật, hiện tượng, sự kiện, bao gồm  chữ số, chữ viết, ký hiệu được thể hiện dưới dạng điện tử;B;Luật Dữ liệu 2024;Khoản 1 Điều 3;;;;;;;;;;;;;;;
59;IV.11.Dữ liệu;IV.11;Theo Nghị định 356/2025/NĐ-CP, tần suất tổ chức, cá nhân hoạt động trong lĩnh vực tài chính, ngân hàng, hoạt động thông tin tín dụng có trách nhiệm thực hiện đánh giá tuân thủ các quy định về bảo vệ dữ liệu cá nhân định kỳ?;6 tháng/lần;01 năm/lần;02 năm/lần;03 năm/lần;B;Nghị định 356/2025/NĐ-CP;Khoản 1 Điều 8;;;;;;;;;;;;;;;
60;IV.11.Dữ liệu;IV.11;Căn cứ theo Nghị định 53/2022/NĐ-CP Quy định chi tiết một số điều của Luật An ninh mạng, thời gian lưu trữ dữ liệu tại Việt Nam bắt đầu từ khi doanh nghiệp nhận được yêu cầu lưu trữ dữ liệu đến khi kết thúc yêu cầu tối thiểu là bao lâu?;Tối thiểu 12 tháng;Tối thiểu 24 tháng;Tối thiểu 36 tháng;Tối thiểu 60 tháng;B;Nghị định 53/2022/NĐ-CP;Khoản 1 Điều 27;;;;;;;;;;;;;;;
1;V.1.An toàn thông tin ngân hàng số ;V.1 ;Theo chỉ thị 02/CT-NHNN ngày 09/01/2026, An toàn thông tin đối với các hệ thống số, nền tảng số và ứng dụng mới của tổ chức phải được thực hiện như thế nào?;Chỉ bổ sung sau khi hệ thống đi vào vận hành;Là yếu tố bắt buộc tích hợp ngay từ khi thiết kế;Chỉ áp dụng với khi hệ thống có xảy ra sự cố bảo mật;Chỉ cần thực hiện khi có yêu cầu thanh tra;B;Theo chỉ thị 02/CT-NHNN ngày 09/01/2026;III.6;;;;;;;;;;;;;;;
2;V.1.An toàn thông tin ngân hàng số ;V.1 ;Theo chỉ thị 02/CT-NHNN ngày 09/01/2026, tổ chức phải thực hiện việc kiểm tra, đánh giá an toàn thông tin và quản lý rủi ro với tần suất như thế nào?;Chỉ kiểm tra khi có sự cố xảy ra;Một lần khi mới triển khai hệ thống;Thường xuyên và định kỳ theo quy định;Không cần thực hiện kiểm tra, đánh giá;C;Theo chỉ thị 02/CT-NHNN ngày 09/01/2026;III.6.ii;;;;;;;;;;;;;;;
3;V.1.An toàn thông tin ngân hàng số ;V.1 ;Theo chỉ thị 02/CT-NHNN ngày 09/01/2026, các giải pháp phòng, chống lộ lọt thông tin, dữ liệu phải được triển khai theo phương thức nào?;Chỉ triển khai giải pháp dễ thực hiện;Triển khai tổng thể và đồng bộ;Chỉ cần triển khai phần bảo mật dữ liệu của ngành ngân hàng;Chỉ cần triển khai bảo mật dữ liệu cho hệ thống có kết nối Internet;B;Theo chỉ thị 02/CT-NHNN ngày 09/01/2026;III.6.i;;;;;;;;;;;;;;;
4;V.1.An toàn thông tin ngân hàng số ;V.1 ;Các quy tắc cơ bản để bảo đảm an toàn bảo mật thiết bị cá nhân (máy tính, điện thoại);"Khóa màn hình thiết bị khi không sử dụng, đặt mật khẩu mạnh(tối thiểu 8 ký tự bao gồm chữ hoa, thường và số); Thực hiện định kỳ cập nhật phần bảo mật của thiết bị và các phần mềm trên thiết bị.";Bỏ chức năng tự động khóa màn hình thiết bị để thuận tiện khi sử dụng;Đặt mật khẩu đơn giản cho thiết bị để thuận tiện khi mở thiết bị.;Hạn chế cập nhật phần bảo mật của thiết bị và các phần mềm trên thiết bị để các ứng dụng hoạt động ổn định;A;Theo QĐ số 757/QĐ-BKHCN ngày 29/04/2025;Phụ lục I.3 phần II.4;;;;;;;;;;;;;;;
5;V.1.An toàn thông tin ngân hàng số ;V.1 ;Các quy tắc cơ bản để bảo vệ dữ liệu cá nhân, dữ liệu nhạy cảm và quyền riêng tư trong môi trường số;"Cung cấp, chia sẻ thông tin cá nhân khi được yêu cầu;";"Không cung cấp, chia sẻ thông tin cá nhân, đặc biệt thông tin nhạy cảm cho người lạ hoặc khi dùng AI trong công việc; cảnh giác với yêu cầu cung cấp mật khẩu, mã OTP;";"Cung cấp, chia sẻ thông tin cá nhân và thông tin nhạy cảm khi dùng AI trong công việc;";"Cung cấp mật khẩu, mã OTP cho người khác khi được yêu cầu với lý do phục vụ công việc;";B;Theo QĐ Số: 757/QĐ-BKHCN ngày 29/04/2025;Phụ lục I.3 phần II.4;;;;;;;;;;;;;;;
6;V.1.An toàn thông tin ngân hàng số ;V.1 ;Theo Quyết định số 3579/QĐ-NHNN ngày 03/11/2025, một trong những nhiệm vụ cần thực hiện đối với hệ thống CNTT, dịch vụ thanh toán trực tuyến, thanh toán thẻ trong công tác bảo đảm an toàn thông tin, an ninh mạng là gì?;Triển khai áp dụng các tiêu chuẩn quốc tế về an ninh bảo mật;Chỉ cần áp dụng các tiêu chuẩn trong nước;Chỉ triển khai biện pháp bảo mật khi phát sinh sự cố;Không ưu tiên triển khai các tiêu chuẩn bảo mật;A;Quyết định số 3579/QĐ-NHNN ngày 03/11/2025;IV.7.đ;;;;;;;;;;;;;;;
7;V.1.An toàn thông tin ngân hàng số ;V.1 ;Theo Quyết định số 3579/QĐ-NHNN ngày 03/11/2025, mục đích của việc triển khai hiệu quả công tác kiểm soát nội bộ về an ninh, an toàn thông tin là gì?;Đảm bảo đáp ứng các quy định Pháp luật;Kịp thời phát hiện, cảnh báo và có biện pháp ngăn chặn những rủi ro phát sinh trong hoạt động nghiệp vụ và vận hành nội bộ;Chỉ nhằm kiểm tra tuân thủ quy trình nội bộ của nhân viên;Thay thế cho hoạt động kiểm toán độc lập bên ngoài;B;Quyết định số 3579/QĐ-NHNN ngày 03/11/2025;IV.7.d;;;;;;;;;;;;;;;
8;V.1.An toàn thông tin ngân hàng số ;V.1;Ứng dụng ngân hàng đã hiển thị đầy đủ thông tin giao dịch trước khi xác nhận và giao dịch có sử dụng OTP SMS. Tuy nhiên, vẫn xảy ra các trường hợp khách hàng bị lừa đảo. Trong các nội dung sau, đâu có thể là nguyên nhân chính dẫn đến việc khách hàng bị lừa đảo?;Khách hàng bị thao túng hoặc không kiểm tra, đối chiếu đúng nội dung giao dịch trước khi nhập OTP;OTP SMS không an toàn nên việc hiển thị thông tin giao dịch không có ý nghĩa.;Chưa áp dụng sinh trắc học nên OTP không đủ an toàn;OTP không nên dùng cho giao dịch tài chính.;A;Thông tư 50/2024/TT-NHNN (TT50);Điều 18;;;;;;;;;;;;;;;
9;V.2.An ninh mạng ;V.1;Theo chỉ thị 02/CT-NHNN ngày 09/01/2026, tổ chức phải đặc biệt chú ý rà soát quản lý chặt chẽ sản phẩm, dịch vụ công nghệ thông tin của bên thứ ba trong trường hợp nào?;Khi bên thứ ba là doanh nghiệp nước ngoài;Khi giá trị hợp đồng với bên thứ ba vượt ngưỡng quy định;Khi sử dụng dịch vụ điện toán đám mây;Khi bên thứ ba cung cấp dịch vụ cho nhiều tổ chức cùng lúc;C;Theo chỉ thị 02/CT-NHNN ngày 09/01/2026;III.6.iv;;;;;;;;;;;;;;;
10;V.2.An ninh mạng ;V.2 ;Theo chỉ thị 02/CT-NHNN ngày 09/01/2026, những hệ thống thông tin nào cần được đặc biệt ưu tiên nâng cao năng lực bảo vệ?;Hệ thống email nội bộ và cổng thông tin điện tử;Hệ thống thanh toán quan trọng, hệ thống ngân hàng lõi (core banking) và hệ thống cung cấp dịch vụ cho khách hàng trên Internet;Hệ thống quản lý nhân sự và kế toán nội bộ;Hệ thống lưu trữ văn bản và hồ sơ điện tử;B;Theo chỉ thị 02/CT-NHNN ngày 09/01/2026;I.4;;;;;;;;;;;;;;;
11;V.2.An ninh mạng ;V.2 ;Theo Quyết định số 3579/QĐ-NHNN ngày 03/11/2025, đến năm 2030, hệ thống giám sát vận hành của ngân hàng phải ứng dụng công nghệ nào và phục vụ mục đích gì?;Chỉ cần ứng dụng công cụ giám sát truyền thống như quản lý nhật ký;Ứng dụng AI/Big Data trong cảnh báo và hỗ trợ khắc phục sự cố;Chỉ cần ứng dụng công nghệ quản lý nhật ký bảo mật để giám sát an ninh mạng;Ứng dụng tự động hóa báo cáo vận hành định kỳ;B;Quyết định số 3579/QĐ-NHNN ngày 03/11/2025;III.2.b;;;;;;;;;;;;;;;
12;V.2.An ninh mạng ;V.2 ;Theo Quyết định số 3579/QĐ-NHNN ngày 03/11/2025, Ngân hàng, Tổ chức tín dụng phi ngân hàng, tổ chức cung ứng dịch vụ trung gian thanh toán cần chủ động phát huy điều gì để tăng cường trao đổi, chia sẻ kinh nghiệm hoạt động trong an ninh, an toàn thông tin?;Sự phối hợp, hỗ trợ của cơ quan nhà nước có chức năng về an ninh, an toàn thông tin và liên kết và phối hợp hành động quốc tế trong hoạt động diễn tập và xử lý sự cố;Hoạt động độc lập, hạn chế hoàn toàn việc trao đổi thông tin;Hạn chế phối hợp với cơ quan nhà nước để tránh phát sinh thủ tục;Chỉ cần tăng cường phối hợp trong nội bộ.;A;Quyết định số 3579/QĐ-NHNN ngày 03/11/2025;IV.7.e;;;;;;;;;;;;;;;
13;V.2.An ninh mạng ;V.2 ;Theo Quyết định số 3580/QĐ-NHNN ngày 03/11/2025, một trong các yêu cầu an toàn thông tin, an ninh mạng cho dữ liệu ngành ngân hàng là gì?;Xây dựng phương án dự phòng dữ liệu và không cần thực hiện kiểm tra phục hồi dữ liệu từ các bản dữ phòng để tránh lãng phí nguồn lực;Triển khai giải pháp lưu trữ dữ liệu tập trung tại một điểm duy nhất để bảo đảm hệ thống hoạt động ổn định;Xây dựng giải pháp lưu trữ dữ liệu phân tán để bảo đảm truy cập dữ liệu mọi lúc, mọi nơi;Xây dựng phương án dự phòng, kịch bản ứng phó khi các CSDL bị lỗi, bị tấn công, bảo đảm phục vụ người dân, doanh nghiệp không bị gián đoạn, an toàn;D;Quyết định số 3580/QĐ-NHNN ngày 03/11/2025;V.6;;;;;;;;;;;;;;;
14;V.2.An ninh mạng ;V.2 ;Trong những nội dung sau đây, đâu là tác hại của việc để lộ thông tin cá nhân trên không gian mạng và khi sử dụng AI miễn phí trên không gian mạng?;Không có tác hại đến cá nhân;Thông tin cá nhân bị lộ sẽ không ảnh hưởng đến cá nhân và tài khoản ngân hàng;Kẻ gian có thể sử dụng để mạo danh cá nhân bị lộ thông tin thực hiện các hành vi trái phép như lừa đảo, chiếm đoạt tài sản;Kẻ gian sẽ không thể sử dụng thông tin cá nhân bị để gây hại cho cá nhân;C;Theo QĐ Số: 757/QĐ-BKHCN ngày 29/04/2025;Phụ lục I.3 phần II.4;;;;;;;;;;;;;;;
15;V.2.An ninh mạng ;V.2 ;Theo Quyết định số 3580/QĐ-NHNN ngày 03/11/2025, ngành Ngân hàng cần phối hợp với cơ quan nào trong việc bảo đảm an toàn dữ liệu?;Bộ Tài chính, Bộ Công Thương, Bộ Công An;Bộ Công an, Bộ Quốc phòng, Bộ Khoa học và Công nghệ;Bộ Tài chính, Bộ Kế hoạch và Đầu tư, Bộ Công An;Bộ Công An, Bộ Khoa học và Công nghệ, Bộ Công Thương;B;Quyết định số 3580/QĐ-NHNN ngày 03/11/2025;V.6;;;;;;;;;;;;;;;
16;V.2.An ninh mạng ;V.2 ;Thông tư 09/2020/TT-NHNN phân loại các hệ thống thông tin trong hoạt động ngân hàng thành mấy cấp độ?;2;3;4;5;D;Thông tư 09/2020/TT-NHNN;Điều 5;;;;;;;;;;;;;;;
17;V.2.An ninh mạng ;V.2;Người dùng truy cập vào website giả mạo có sử dụng giao thức HTTPS, chứng chỉ TLS/SSL hợp lệ và nhập thông tin đăng nhập. Nhận định nào sau đây là đúng nhất?;Giao thức HTTPS về bản chất không đủ mạnh để bảo vệ dữ liệu người dùng, nên dù có chứng chỉ hợp lệ thì website vẫn dễ dàng bị khai thác để đánh cắp thông tin đăng nhập.;"Kẻ tấn công lợi dụng phương pháp tấn công phi kỹ thuật để lừa đảo người dùng truy cập website giả mạo, người dùng đã đồng nhất ""có HTTPS và chứng chỉ hợp lệ"" là đáng tin cậy, trong khi website giả vẫn có thể có chứng chỉ hợp lệ. Cần tổ chức đào tạo nhận thức ATTT cho người dùng";Hệ thống DNS không có cơ chế xác thực tuyệt đối nên bản thân việc phân giải tên miền luôn là điểm yếu kỹ thuật chính dẫn đến việc người dùng bị đưa sang website giả mạo.;Trình duyệt web không có khả năng phân biệt website thật và website giả nếu cả hai cùng có giao diện giống nhau, nên lỗi chính nằm ở công cụ chứ không phải ở hành vi người dùng.;B;Thông tư 50/2024/TT-NHNN (TT50);Điều 18 (TT50);;;;;;;;;;;;;;;
